zip,price
84720,2.05
84721,2.05
84737,2.05
84738,2.05
84745,2.05
84765,2.05
84770,2.05
84771,2.05
84780,2.05
84790,2.05
84791,2.05
85003,2.05
85004,2.05
85006,2.05
85007,2.05
85008,2.20
85009,2.20
85012,2.00
85013,2.00
85014,2.00
85015,2.00
85016,2.00
85017,2.00
85018,2.20
85019,2.00
85020,2.00
85021,2.00
85022,2.10
85023,2.10
85024,2.10
85027,2.10
85028,2.00
85029,2.00
85031,1.95
85032,2.10
85033,1.95
85034,2.05
85035,1.95
85037,1.95
85040,2.05
85041,2.05
85042,2.05
85043,1.85
85044,2.05
85045,2.05
85048,2.05
85050,2.10
85051,2.00
85053,2.00
85054,2.10
85083,2.10
85085,2.10
85086,2.10
85119,2.00
85120,2.00
85122,2.20
85138,2.20
85139,2.20
85140,2.15
85142,2.15
85143,2.15
85194,2.20
85201,2.05
85202,2.05
85203,2.05
85204,2.05
85205,2.00
85206,2.00
85207,2.00
85208,2.00
85209,2.00
85210,2.05
85212,2.00
85213,2.05
85215,2.00
85224,2.10
85225,2.10
85226,2.05
85233,2.10
85234,2.00
85248,2.10
85249,2.10
85250,2.10
85251,2.20
85253,2.10
85254,2.10
85255,2.20
85257,2.20
85258,2.10
85259,2.20
85260,2.20
85268,2.20
85281,2.10
85282,2.10
85283,2.10
85284,2.10
85286,2.10
85288,2.10
85295,2.00
85296,2.00
85297,2.10
85298,2.10
85301,1.95
85302,2.00
85303,1.95
85304,2.00
85305,1.95
85306,2.00
85307,2.05
85308,2.05
85310,2.10
85323,1.95
85326,1.95
85331,2.10
85335,1.95
85338,1.95
85339,1.85
85340,2.05
85345,1.95
85351,1.95
85353,1.85
85355,1.95
85363,1.95
85373,1.95
85374,2.05
85375,1.95
85378,1.95
85379,1.95
85381,2.05
85382,2.05
85383,1.95
85387,2.05
85388,1.95
85392,1.95
85395,1.95
85396,2.05
85614,2.30
85622,2.30
85629,2.30
85658,2.30
85701,2.20
85704,2.30
85705,2.30
85706,2.20
85707,2.20
85708,2.20
85710,2.30
85711,2.30
85712,2.30
85713,2.20
85714,2.20
85715,2.30
85716,2.20
85718,2.30
85719,2.20
85730,2.30
85737,2.30
85741,2.30
85742,2.30
85743,2.30
85745,2.30
85746,2.20
85747,2.30
85748,2.30
85749,2.30
85750,2.30
85755,2.30
85757,2.20
86001,2.10
86004,2.10
86005,2.10
86011,2.10
86301,2.00
86303,2.00
86305,2.00
86314,2.00
86315,2.00
86323,2.00
86326,2.00
86401,2.20
86403,2.20
86404,2.20
86406,2.20
86409,2.20
86413,2.20
86426,2.20
86440,2.20
86442,2.20
89002,1.65
89005,1.70
89011,1.75
89012,1.70
89014,1.75
89015,1.75
89030,1.65
89031,1.60
89032,1.65
89044,1.65
89052,1.75
89074,1.65
89081,1.65
89084,1.65
89085,1.60
89101,1.75
89102,1.75
89103,1.90
89104,1.75
89106,1.75
89107,1.65
89108,1.65
89110,1.70
89113,1.65
89115,1.75
89117,1.70
89118,1.90
89120,1.75
89121,1.75
89122,1.65
89123,1.65
89128,1.70
89129,1.75
89130,1.65
89131,1.65
89134,1.70
89135,1.70
89138,1.75
89139,1.65
89141,1.65
89142,1.65
89143,1.65
89144,1.75
89145,1.70
89146,1.75
89147,1.70
89148,1.65
89149,1.75
89156,1.65
89166,1.65
89178,1.70
89179,1.65
89183,1.65
